id;type;lieu;quartier;latitude;longitude
B-001;banc;Avenue de la Gare;Centre-ville;;
1002;Banc;Rue du Lac;Centre-ville;46,77932212;6,637371232
B_3;banc;Rue du Casino;Centre-ville;46,77885475;6,639355991
B_4;Banc;HEIG-VD;Maillefer;46,78;6,66
B-005;banc;Place de la Gare;Centre-ville;46,78106843;6,64157228
1006;banc public;Place de la Gare;Centre-ville;46,78208324;6,641524
B_7;Banc;Place Pestalozzi;Centre-ville;46,77850749;6,640148663
B-008;Banc;Rue du Milieu;Centre-ville;46,77893365;6,639979194
B-009;banc public;Y-Parc;Perreux;46,76481563;6,628153421
B-010;banc;HEIG-VD;Maillefer;46,78115305;6,658205193
1011;banc;Chemin de Maillefer;Maillefer;46,78101226;6,655518258
1012;banc;Rue Haldimand;Centre-ville;46,78;6,65
B-013;banc;Chemin de Maillefer;Maillefer;46,78117055;6,656742981
B_14;banc public;Rue du Milieu;Centre-ville;;
B-015;Banc;Chemin de Maillefer;Maillefer;46,78157542;6,655313372
B-016;Banc;Rue de la Maison Rouge;Centre-ville;46,78;6,64
1017;banc;Route de Lausanne;Perreux;46,76574288;6,641578676
B-018;banc public;Rue du Casino;Centre-ville;46,78006955;6,638156654
B-019;Banc;Avenue de la Gare;Centre-ville;46,78;6,64
B_20;Banc;Centre sportif;Perreux;;
1021;banc;Avenue de la Gare;Centre-ville;46,78012818;6,64129732
B-022;banc public;Y-Parc;Perreux;46,76510436;6,627706192
B-023;banc public;Quai de Nogent;Rives;46,78490298;6,635316069
1024;banc;Avenue de la Gare;Centre-ville;46,78;6,64
1025;banc;HEIG-VD;Maillefer;46,78208787;6,658448717
1026;banc public;Rue du Milieu;Centre-ville;46,78;6,64
1027;Banc;Route de Lausanne;Perreux;46,77;6,64
B-028;Banc;Quai de Nogent;Rives;46,79;6,64
B-029;Banc;Rue du Casino;Centre-ville;46,7799598;6,638172953
1030;banc;Rue du Lac;Centre-ville;46,78;6,64
1031;Banc;Avenue des Sports;Maillefer;46,77877368;6,651261212
B_32;banc public;Y-Parc;Perreux;46,76529897;6,628704421
B_33;Banc;Rue de la Plaine;Centre-ville;46,77985343;6,642843841
B-034;banc;Rue des Pêcheurs;Perreux;46,76845721;6,635170659
1035;banc;Rue de la Maison Rouge;Centre-ville;46,77841271;6,640736301
B-036;Banc;Rue du Lac;Centre-ville;46,77831653;6,637363106
B_37;banc;Route de Lausanne;Perreux;46,76555015;6,641486576
B-038;banc public;Passage de l'Hôtel de Ville;Centre-ville;46,78085084;6,640507645
1039;Banc;Rue du Casino;Centre-ville;46,77908279;6,638703796
B-040;Banc;Parc des Rives;Rives;46,78;6,64
